UNITID,Level of Student,Grand Total,Grand Total Men,Grand Total Women
106041,1,2589,2459,130
106041,2,2589,2459,130
106111,1,150,10,140
106111,2,150,10,140
106148,1,9809,4120,5689
106148,2,9809,4120,5689
106245,1,12993,4819,8174
106245,2,9529,3564,5965
106245,4,3464,1255,2209
106263,1,2996,948,2048
106263,2,637,113,524
106263,4,2359,835,1524
106306,1,812,632,180
106306,2,812,632,180
106315,1,236,8,228
106315,2,236,8,228
106324,1,29,0,29
106324,2,29,0,29
106342,1,692,389,303
106342,2,692,389,303
106351,1,187,119,68
106351,2,187,119,68
106360,1,53,2,51
106360,2,53,2,51
106397,1,30459,14446,16013
106397,2,25149,11755,13394
106397,4,5310,2691,2619
106412,1,2818,1190,1628
106412,2,2686,1115,1571
106412,4,132,75,57
106449,1,4716,1852,2864
106449,2,4716,1852,2864
106458,1,18977,6932,12045
106458,2,10860,4260,6600
106458,4,8117,2672,5445
106467,1,13722,5965,7757
106467,2,12483,5601,6882
106467,4,1239,364,875
106485,1,3716,1527,2189
106485,2,3191,1360,1831
106485,4,525,167,358
106494,1,55,3,52
106494,2,55,3,52
106546,1,894,110,784
106546,2,894,110,784
106625,1,2182,766,1416
106625,2,2182,766,1416
106704,1,12741,4886,7855
106704,2,10512,4308,6204
106704,4,2229,578,1651
106713,1,849,463,386
106713,2,849,463,386
106795,1,1948,673,1275
106795,2,1948,673,1275
106810,1,207,102,105
106810,2,207,102,105
106883,1,1721,631,1090
106883,2,1721,631,1090
106892,1,395,16,379
106892,2,395,16,379
106908,1,599,43,556
106908,2,599,43,556
106980,1,3278,1221,2057
106980,2,3278,1221,2057
106999,1,1610,522,1088
106999,2,1610,522,1088
107044,1,5717,2478,3239
107044,2,4323,1975,2348
107044,4,1394,503,891
107071,1,4565,1844,2721
107071,2,3766,1627,2139
107071,4,799,217,582
107080,1,1226,591,635
107080,2,1219,589,630
107080,4,7,2,5
107099,1,39,4,35
107099,2,39,4,35
107123,1,122,14,108
107123,2,122,14,108
107141,1,2830,1146,1684
107141,2,2078,902,1176
107141,4,752,244,508
107220,1,321,16,305
107220,2,321,16,305
107293,1,91,10,81
107293,2,91,10,81
107318,1,1852,677,1175
107318,2,1852,677,1175
107327,1,2006,792,1214
107327,2,2006,792,1214
107442,1,57,41,16
107442,2,57,41,16
107460,1,2311,907,1404
107460,2,2311,907,1404
107488,1,317,199,118
107488,2,317,199,118
107512,1,1768,799,969
107512,2,1768,799,969
107521,1,1663,647,1016
107521,2,1663,647,1016
107549,1,1554,451,1103
107549,2,1554,451,1103
107558,1,916,452,464
107558,2,916,452,464
107585,1,2475,892,1583
107585,2,2475,892,1583
107600,1,1075,372,703
107600,2,1075,372,703
107619,1,1941,771,1170
107619,2,1941,771,1170
107637,1,1731,539,1192
107637,2,1731,539,1192
107655,1,54,1,53
107655,2,54,1,53
107664,1,7488,2685,4803
107664,2,7488,2685,4803
107725,1,1910,601,1309
107725,2,1910,601,1309
107743,1,1051,338,713
107743,2,1051,338,713
107789,1,151,9,142
107789,2,151,9,142
107831,1,119,4,115
107831,2,119,4,115
107840,1,359,105,254
107840,2,359,105,254
107877,1,555,313,242
107877,2,531,305,226
107877,4,24,8,16
107974,1,2150,627,1523
107974,2,2150,627,1523
107983,1,5182,2156,3026
107983,2,3889,1689,2200
107983,4,1293,467,826
107992,1,1968,1129,839
107992,2,1968,1129,839
108065,1,18,2,16
108065,2,18,2,16
108092,1,7365,3176,4189
108092,2,7334,3166,4168
108092,4,31,10,21
108232,1,13615,5506,8109
108232,2,9267,4019,5248
108232,4,4348,1487,2861
108269,1,160,40,120
108269,4,160,40,120
108348,1,56,36,20
108348,2,56,36,20
108649,1,182,6,176
108649,2,182,6,176
108667,1,10575,4400,6175
108667,2,10575,4400,6175
108807,1,15587,7077,8510
108807,2,15587,7077,8510
108852,1,296,115,181
108852,2,296,115,181
108861,1,62,40,22
108861,4,62,40,22
108870,1,375,193,182
108870,4,375,193,182
108977,1,185,77,108
108977,2,185,77,108
109040,1,2315,472,1843
109040,2,2315,472,1843
109086,1,98,36,62
109086,2,61,17,44
109086,4,37,19,18
109208,1,46047,24475,21572
109208,2,46047,24475,21572
109350,1,18541,7675,10866
109350,2,18541,7675,10866
109651,1,2970,1384,1586
109651,2,2699,1242,1457
109651,4,271,142,129
109721,1,632,300,332
109721,2,632,300,332
109730,1,169,137,32
