,UNITID,Grand Total,Grand Total Men ,Grand Total Women 
1174,155007,106,21,85
1175,155025,1609,519,1090
1176,155052,388,152,236
1177,155061,3741,1376,2365
1178,155070,45,20,25
1179,155089,540,201,339
1180,155098,548,226,322
1181,155104,435,186,249
1182,155140,186,67,119
1183,155159,36,1,35
1184,155177,163,58,105
1185,155186,655,247,408
1186,155195,1030,448,582
1187,155201,223,82,141
1188,155210,3010,1234,1776
1189,155283,308,32,276
1190,155292,1274,512,762
1191,155308,14,14,0
1192,155317,6889,3164,3725
1193,155335,515,148,367
1194,155353,31,27,4
1195,155399,5386,2602,2784
1196,155414,170,85,85
1197,155423,1044,495,549
1198,155450,260,80,180
1199,155487,314,135,179
1200,155496,57,31,26
1201,155511,147,86,61
1202,155520,623,183,440
1203,155566,701,220,481
1204,155593,414,193,221
1205,155618,251,178,73
1206,155627,132,70,62
1207,155636,174,44,130
1208,155681,1585,740,845
1209,155715,313,113,200
1210,155812,420,167,253
1211,155830,408,123,285
1212,155858,474,179,295
1213,155900,430,263,167
1214,155937,103,47,56
1215,155973,178,79,99
1216,156082,1455,547,908
1217,156107,1793,981,812
1218,156125,3075,1345,1730
1219,156134,463,239,224
1220,156189,89,41,48
1221,156213,371,137,234
1222,156222,285,186,99
1223,156231,710,273,437
1224,156277,33,4,29
1225,156286,919,323,596
1226,156295,306,143,163
1227,156310,129,0,129
1228,156338,912,359,553
1229,156356,242,56,186
1230,156365,1788,1078,710
1231,156392,1966,743,1223
1232,156408,329,173,156
1233,156417,19,16,3
1234,156426,98,3,95
1235,156471,892,86,806
1236,156541,3305,1531,1774
1237,156620,3955,1565,2390
1238,156648,1614,892,722
1239,156727,856,45,811
1240,156745,470,138,332
1241,156754,19,0,19
1242,156790,686,261,425
1243,156842,77,4,73
1244,156851,277,67,210
1245,156860,781,356,425
1246,156921,2501,1225,1276
1247,156967,65,1,64
1248,157021,96,14,82
1249,157030,18,14,4
1250,157058,295,118,177
1251,157076,130,59,71
1252,157085,7167,3125,4042
1253,157100,115,39,76
1254,157207,14,4,10
1255,157216,678,164,514
1256,157289,5043,2373,2670
1257,157298,34,14,20
1258,157304,1017,366,651
1259,157331,725,272,453
1260,157377,320,86,234
1261,157386,1712,617,1095
1262,157401,2057,797,1260
1263,157438,1893,1063,830
1264,157447,2750,1073,1677
1265,157483,1924,709,1215
1266,157535,397,194,203
1267,157553,521,232,289
1268,157614,30,1,29
1269,157650,34,2,32
1270,157669,45,2,43
1271,157678,33,1,32
1272,157711,1144,406,738
1273,157739,649,266,383
1274,157748,572,478,94
1275,157757,589,133,456
1276,157793,1189,460,729
1277,157809,401,173,228
1278,157818,230,85,145
1279,157827,22,2,20
1280,157863,313,112,201
1281,157951,4118,1589,2529
1282,158088,1143,600,543
1283,158246,111,46,65
1284,158325,43,0,43
1285,158343,50,29,21
1286,158431,1238,437,801
1287,158477,127,46,81
1288,158538,8,2,6
1289,158617,266,128,138
1290,158644,41,0,41
1291,158662,2923,891,2032
1292,158778,30,1,29
1293,158787,40,1,39
1294,158802,247,49,198
1295,158884,711,281,430
1296,159009,838,297,541
1297,159027,52,0,52
1298,159197,264,218,46
1299,159328,69,1,68
1300,159373,843,225,618
1301,159382,540,159,381
1302,159391,6978,3220,3758
1303,159407,331,73,258
1304,159416,2142,921,1221
1305,159513,69,2,67
1306,159522,125,4,121
1307,159531,18,0,18
1308,159568,227,81,146
1309,159601,15,2,13
1310,159647,2120,1042,1078
1311,159656,879,292,587
1312,159717,1326,472,854
1313,159939,1557,713,844
1314,159948,510,407,103
1315,159966,1306,426,880
1316,159993,1658,538,1120
1317,160010,661,384,277
1318,160038,1899,481,1418
1319,160065,208,30,178
1320,160074,321,54,267
1321,160117,40,3,37
1322,160126,10,0,10
1323,160199,24,0,24
1324,160320,1745,57,1688
1325,160409,38,38,0
1326,160445,51,0,51
1327,160472,20,1,19
1328,160481,669,259,410
1329,160524,184,31,153
1330,160579,1319,802,517
1331,160597,23,11,12
1332,160612,2068,719,1349
1333,160621,1011,317,694
1334,160630,458,88,370
1335,160649,293,57,236
1336,160658,3420,1349,2071
1337,160667,1150,630,520
1338,160755,3874,1654,2220
1339,160904,509,115,394
1340,160959,86,25,61
1341,160977,469,223,246
1342,160995,114,43,71
1343,161004,472,238,234
1344,161022,72,9,63
1345,161077,464,202,262
1346,161086,462,215,247
1347,161138,362,196,166
1348,161192,381,148,233
1349,161208,53,50,3
1350,161217,564,165,399
1351,161226,422,116,306
1352,161235,254,59,195
1353,161244,105,16,89
1354,161253,2071,977,1094
1355,161299,225,181,44
1356,161341,174,71,103
1357,161457,1848,481,1367
1358,161484,181,93,88
1359,161493,89,2,87
1360,161509,128,41,87
1361,161518,574,200,374
1362,161527,213,18,195
1363,161545,790,363,427
1364,161554,1654,585,1069
1365,161563,241,109,132
1366,161572,174,80,94
1367,161581,104,74,30
1368,161688,511,164,347
1369,161767,2215,888,1327
1370,161800,72,24,48
1371,161855,18,1,17
1372,161864,554,185,369
1373,161873,1306,509,797
1374,162007,1093,373,720
1375,162061,190,151,39
1376,162104,337,117,220
1377,162122,1272,476,796
1378,162168,297,94,203
1379,162210,255,81,174
1380,162283,448,93,355
1381,162335,22,3,19
1382,162371,414,397,17
1383,162557,915,388,527
1384,162584,1292,568,724
1385,162609,103,49,54
1386,162654,480,127,353
1387,162690,709,268,441
1388,162706,923,383,540
1389,162760,542,201,341
1390,162779,1294,531,763
1391,162830,110,1,109
1392,162928,9081,4085,4996
1393,163028,358,346,12
1394,163046,1706,604,1102
1395,163204,12988,6706,6282
1396,163259,2342,541,1801
1397,163268,3324,1734,1590
1398,163286,10810,5659,5151
1399,163295,608,146,462
1400,163338,676,286,390
1401,163347,204,19,185
1402,163408,46,12,34
1403,163426,2910,1287,1623
1404,163453,1408,611,797
1405,163462,598,284,314
1406,163532,78,78,0
1407,163541,167,65,102
1408,163578,598,77,521
1409,163657,1023,400,623
1410,163754,32,2,30
1411,163815,40,1,39
1412,163851,2090,799,1291
1413,163912,420,172,248
1414,163976,107,61,46
1415,164076,5569,1985,3584
1416,164085,399,27,372
1417,164155,1066,767,299
1418,164173,1016,318,698
1419,164216,317,125,192
1420,164270,789,253,536
1421,164313,417,160,257
1422,164368,1246,701,545
1423,164447,986,235,751
1424,164465,482,230,252
1425,164492,407,188,219
1426,164535,43,6,37
1427,164562,650,225,425
1428,164580,1167,637,530
1429,164599,26,3,23
1430,164614,20,11,9
1431,164632,888,80,808
1432,164641,196,46,150
1433,164720,419,156,263
1434,164739,1572,830,742
1435,164748,1583,918,665
1436,164775,296,99,197
1437,164845,80,4,76
1438,164872,164,84,80
1439,164915,18,10,8
1440,164924,4048,1765,2283
1441,164988,11215,4454,6761
1442,165015,1754,728,1026
1443,165024,2558,907,1651
1444,165033,1234,417,817
1445,165060,79,6,73
1446,165112,1547,578,969
1447,165167,838,191,647
1448,165194,516,178,338
1449,165255,204,2,202
1450,165264,404,31,373
1451,165334,989,398,591
1452,165495,13,2,11
1453,165529,788,283,505
1454,165556,187,11,176
1455,165574,334,141,193
1456,165608,44,3,41
1457,165635,128,123,5
1458,165644,214,84,130
1459,165662,1285,463,822
1460,165671,529,117,412
1461,165699,1337,458,879
1462,165750,25,16,9
1463,165802,380,123,257
1464,165820,1496,600,896
1465,165866,1326,468,858
1466,165884,223,193,30
1467,165936,469,158,311
1468,165945,366,240,126
1469,165981,326,122,204
1470,166018,288,104,184
1471,166027,8266,4052,4214
1472,166045,31,11,20
1473,166054,53,41,12
1474,166124,698,329,369
1475,166133,859,306,553
1476,166391,596,215,381
1477,166407,114,5,109
1478,166452,1369,197,1172
1479,166489,94,29,65
1480,166498,44,1,43
1481,166513,4601,2728,1873
1482,166629,8241,4046,4195
1483,166638,3500,1304,2196
1484,166647,661,318,343
1485,166656,2321,655,1666
1486,166674,415,130,285
1487,166683,3556,2193,1363
1488,166692,433,372,61
1489,166708,210,81,129
1490,166717,308,70,238
1491,166805,40,27,13
1492,166823,895,416,479
1493,166850,1140,434,706
1494,166869,569,94,475
1495,166887,1124,438,686
1496,166911,66,21,45
1497,166939,605,10,595
1498,166957,752,248,504
1499,167039,14,0,14
1500,167057,277,139,138
1501,167093,121,38,83
1502,167215,146,55,91
1503,167224,19,12,7
1504,167260,416,229,187
1505,167288,344,119,225
1506,167297,82,60,22
1507,167312,952,325,627
1508,167358,7412,3892,3520
1509,167376,830,272,558
1510,167394,565,132,433
1511,167455,58,23,35
1512,167464,14,14,0
1513,167525,524,172,352
1514,167534,1388,524,864
1515,167598,819,117,702
1516,167631,273,80,193
1517,167677,53,41,12
1518,167729,2264,765,1499
1519,167783,2282,192,2090
1520,167792,159,67,92
1521,167835,811,33,778
1522,167871,75,22,53
1523,167899,872,330,542
1524,167905,969,416,553
1525,167987,1974,967,1007
1526,167996,603,233,370
1527,168005,2093,915,1178
1528,168032,10,0,10
1529,168148,3440,1463,1977
1530,168218,577,0,577
1531,168227,1014,791,223
1532,168254,1050,636,414
1533,168263,1509,633,876
1534,168281,309,112,197
1535,168342,549,275,274
1536,168421,1900,1283,617
1537,168430,1389,484,905
1538,168528,365,194,171
1539,168546,310,130,180
1540,168555,9,0,9
1541,168573,459,449,10
1542,168591,273,117,156
1543,168607,330,197,133
1544,168740,728,379,349
1545,168786,373,135,238
1546,168847,2970,847,2123
1547,168883,348,128,220
1548,168892,49,2,47
1549,169080,906,403,503
1550,169099,127,78,49
1551,169187,105,13,92
1552,169220,70,14,56
1553,169248,5914,2489,3425
1554,169275,1045,371,674
1555,169284,126,5,121
1556,169327,198,92,106
1557,169363,186,75,111
1558,169424,65,24,41
1559,169442,287,129,158
1560,169479,1675,714,961
1561,169503,146,2,144
1562,169521,1069,402,667
1563,169576,44,4,40
1564,169628,259,117,142
1565,169655,394,380,14
1566,169716,1508,599,909
1567,169734,296,29,267
1568,169761,84,1,83
1569,169798,4572,1715,2857
1570,169813,29,0,29
1571,169910,3605,1754,1851
1572,169947,18,15,3
1573,169974,172,64,108
1574,169983,525,402,123
1575,169992,183,70,113
1576,170000,161,69,92
1577,170037,654,272,382
1578,170055,2196,1039,1157
1579,170082,5763,2146,3617
1580,170091,16,9,7
1581,170240,1387,549,838
1582,170286,345,177,168
1583,170301,705,266,439
1584,170444,774,357,417
1585,170532,291,125,166
1586,170541,972,456,516
1587,170550,781,223,558
1588,170587,286,110,176
1589,170611,58,0,58
1590,170620,440,156,284
1591,170639,416,200,216
1592,170657,2049,779,1270
1593,170675,606,446,160
1594,170736,26,1,25
1595,170790,2593,1234,1359
1596,170806,887,291,596
1597,170842,167,34,133
1598,170967,245,77,168
1599,170976,12969,6577,6392
1600,171012,54,37,17
1601,171100,12321,5718,6603
1602,171128,1671,1190,481
1603,171137,2058,1146,912
1604,171146,1499,543,956
1605,171155,346,142,204
1606,171225,374,139,235
1607,171234,316,95,221
1608,171304,636,221,415
1609,171395,331,111,220
1610,171456,1616,690,926
1611,171483,644,319,325
1612,171492,1098,565,533
1613,171535,1977,792,1185
1614,171571,4548,1847,2701
1615,171599,189,93,96
1616,171775,27,0,27
1617,171881,41,19,22
1618,171988,88,2,86
1619,171997,149,7,142
1620,172015,114,10,104
1621,172033,100,63,37
1622,172051,1708,624,1084
1623,172200,1479,609,870
1624,172264,838,316,522
1625,172291,659,222,437
1626,172307,328,135,193
1627,172325,294,180,114
1628,172334,940,233,707
1629,172422,362,270,92
1630,172440,86,42,44
1631,172477,303,129,174
1632,172495,90,4,86
1633,172608,774,387,387
1634,172617,3398,1428,1970
1635,172635,1607,504,1103
1636,172644,6535,2818,3717
1637,172671,192,58,134
1638,172680,51,1,50
1639,172699,5063,2394,2669
1640,172705,56,39,17
1641,172802,27,0,27
1642,172866,13,11,2
1643,172918,756,430,326
1644,172927,14,3,11
1645,172954,807,307,500
1646,172963,1205,406,799
1647,173045,975,390,585
1648,173063,552,268,284
1649,173115,177,39,138
1650,173124,1099,417,682
1651,173142,128,58,70
1652,173160,1144,436,708
1653,173203,721,299,422
1654,173258,461,226,235
1655,173300,456,177,279
1656,173328,1603,543,1060
1657,173416,769,399,370
1658,173452,235,107,128
1659,173461,1162,485,677
1660,173470,17,0,17
1661,173559,1142,495,647
1662,173638,939,315,624
1663,173647,524,226,298
1664,173665,1111,346,765
1665,173683,90,31,59
1666,173708,1069,683,386
1667,173735,318,151,167
1668,173744,284,18,266
1669,173799,780,260,520
1670,173805,315,116,199
1671,173896,129,54,75
1672,173902,532,207,325
1673,173911,605,324,281
1674,173920,3176,1286,1890
1675,173957,350,107,243
1676,173993,241,116,125
1677,174020,2110,863,1247
1678,174066,13113,5938,7175
1679,174075,409,199,210
1680,174118,79,28,51
1681,174127,196,56,140
1682,174136,1136,429,707
1683,174154,142,12,130
1684,174190,97,2,95
1685,174233,2141,1126,1015
1686,174251,325,141,184
1687,174321,57,1,56
1688,174358,1446,488,958
1689,174376,989,418,571
1690,174428,1270,480,790
1691,174437,251,122,129
1692,174473,838,347,491
1693,174491,592,248,344
1694,174507,196,82,114
1695,174525,22,9,13
1696,174570,248,133,115
1697,174604,56,23,33
1698,174738,922,330,592
1699,174747,403,0,403
1700,174756,1034,486,548
1701,174783,2738,1219,1519
1702,174792,400,392,8
1703,174817,1731,540,1191
1704,174844,697,307,390
1705,174862,383,176,207
1706,174899,1488,369,1119
1707,174914,2807,1332,1475
1708,174978,100,2,98
1709,175005,1522,100,1422
1710,175014,2075,325,1750
1711,175041,1274,494,780
1712,175078,687,259,428
1713,175120,397,253,144
1714,175139,19,10,9
1715,175157,126,91,35
1716,175227,456,382,74
1717,175236,790,316,474
1718,175263,435,204,231
1719,175272,1861,624,1237
1720,175281,312,158,154
1721,175315,1813,733,1080
1722,175342,642,192,450
1723,175421,1305,371,934
1724,175430,136,56,80
1725,175494,58,17,41
1726,175519,393,160,233
1727,175528,70,4,66
1728,175573,725,292,433
1729,175607,3,0,3
1730,175616,899,309,590
1731,175643,534,227,307
1732,175652,960,451,509
1733,175698,8,5,3
1734,175722,19,0,19
1735,175786,2885,1306,1579
1736,175810,1406,509,897
1737,175829,1443,647,796
1738,175856,1708,517,1191
1739,175883,1119,481,638
1740,175935,943,320,623
1741,175980,220,120,100
1742,176008,564,212,352
1743,176017,6140,2441,3699
1744,176035,914,126,788
1745,176044,390,137,253
1746,176053,1479,486,993
1747,176062,24,1,23
1748,176071,2262,941,1321
1749,176080,4909,2390,2519
1750,176169,711,288,423
1751,176178,1542,550,992
1752,176239,1054,414,640
1753,176318,91,25,66
1754,176336,4,4,0
1755,176354,535,205,330
1756,176372,3267,1119,2148
1757,176390,97,4,93
1758,176406,114,31,83
1759,176433,9,0,9
1760,176451,8,8,0
1761,176479,1219,362,857
1762,176600,39,16,23
1763,176628,391,126,265
1764,176664,60,28,32
1765,176716,103,1,102
1766,176770,296,43,253
1767,176789,60,35,25
1768,176798,119,49,70
1769,176910,52,29,23
1770,176947,243,104,139
1771,176965,2852,1186,1666
1772,176983,65,56,9
1773,177038,102,63,39
1774,177065,3473,1579,1894
1775,177083,20,20,0
1776,177092,88,86,2
1777,177117,98,0,98
1778,177126,123,78,45
1779,177135,1251,702,549
1780,177144,210,74,136
1781,177214,353,143,210
1782,177250,517,191,326
1783,177278,28,14,14
1784,177287,41,0,41
1785,177302,134,62,72
1786,177339,503,240,263
1787,177418,431,130,301
1788,177436,32,4,28
1789,177472,2506,1043,1463
1790,177542,249,77,172
1791,177551,196,61,135
1792,177588,13,1,12
1793,177603,67,4,63
1794,177676,786,314,472
1795,177685,65,1,64
1796,177719,446,42,404
1797,177746,133,37,96
1798,177816,14,14,0
1799,177834,1298,554,744
1800,177870,14,13,1
1801,177931,45,4,41
1802,177940,423,155,268
1803,177968,2962,1139,1823
1804,177977,586,482,104
1805,177986,438,187,251
1806,177995,2369,1043,1326
1807,178004,58,7,51
1808,178059,2354,624,1730
1809,178077,36,1,35
1810,178110,34,2,32
1811,178183,152,7,145
1812,178208,355,307,48
1813,178217,608,226,382
1814,178244,770,245,525
1815,178341,1169,461,708
1816,178369,209,94,115
1817,178387,834,315,519
1818,178396,8131,3607,4524
1819,178402,3277,1485,1792
1820,178411,2069,1586,483
1821,178420,2798,1093,1705
1822,178448,793,296,497
1823,178466,56,7,49
1824,178518,47,26,21
1825,178527,19,0,19
1826,178615,1279,504,775
1827,178624,1459,601,858
1828,178679,125,54,71
1829,178697,310,134,176
1830,178721,2614,1338,1276
1831,178767,48,7,41
1832,178828,14,3,11
1833,178891,687,649,38
1834,178989,182,32,150
1835,179043,754,308,446
1836,179052,102,43,59
1837,179159,3269,1230,2039
1838,179195,10,0,10
1839,179229,18,5,13
1840,179256,15,11,4
1841,179265,402,150,252
1842,179308,2327,880,1447
1843,179317,20,10,10
1844,179326,763,227,536
1845,179344,239,78,161
1846,179450,254,26,228
1847,179511,174,6,168
1848,179539,740,225,515
1849,179548,220,11,209
1850,179557,2057,797,1260
1851,179566,4951,1964,2987
1852,179645,511,167,344
1853,179715,384,102,282
1854,179812,388,241,147
1855,179867,4689,2204,2485
1856,179894,4050,1921,2129
1857,179946,164,88,76
1858,179955,246,101,145
1859,179964,765,292,473
1860,179991,24,0,24
1861,180054,60,10,50
1862,180063,23,0,23
1863,180081,100,63,37
1864,180090,68,3,65
1865,180106,311,132,179
1866,180151,60,25,35
1867,180160,25,10,15
1868,180179,786,284,502
1869,180197,340,143,197
1870,180203,34,17,17
1871,180212,38,13,25
1872,180249,351,117,234
1873,180258,399,100,299
1874,180276,251,112,139
1875,180328,44,10,34
1876,180373,113,37,76
1877,180416,468,307,161
1878,180461,3256,1654,1602
1879,180489,2839,1150,1689
1880,180522,245,137,108
1881,180595,262,133,129
1882,180647,220,57,163
1883,180692,477,157,320
1884,180771,7,1,6
1885,180814,2559,1296,1263
1886,180832,370,60,310
1887,180878,158,12,146
1888,180902,1508,826,682
1889,180948,566,216,350
1890,180957,75,28,47
1891,180984,604,210,394
1892,181002,2428,981,1447
1893,181020,813,297,516
1894,181127,220,101,119
1895,181145,7,1,6
1896,181190,64,5,59
1897,181215,1273,448,825
1898,181297,350,36,314
1899,181303,1936,928,1008
1900,181312,396,176,220
1901,181330,323,159,164
1902,181376,22,11,11
1903,181394,3140,1354,1786
1904,181419,12,3,9
1905,181428,1154,311,843
1906,181446,532,194,338
1907,181464,5775,2902,2873
1908,181491,901,433,468
1909,181534,417,153,264
1910,181543,4,2,2
1911,181604,323,6,317
1912,181640,1549,817,732
1913,181738,182,61,121
1914,181765,96,42,54
1915,181783,669,277,392
1916,181817,273,102,171
1917,181853,89,51,38
1918,181880,200,7,193
1919,181941,185,124,61
1920,182005,4888,2014,2874
1921,182111,116,55,61
1922,182148,85,13,72
1923,182281,5679,2291,3388
1924,182290,4753,2176,2577
1925,182306,620,219,401
1926,182458,243,76,167
1927,182500,1984,894,1090
1928,182564,931,378,553
1929,182634,207,59,148
1930,182652,33,1,32
1931,182670,1921,970,951
1932,182704,37,2,35
1933,182722,80,16,64
1934,182795,568,244,324
1935,182829,81,42,39
1936,182892,13,0,13
1937,182917,23,9,14
1938,182953,58,5,53
1939,182980,655,299,356
1940,182999,14,0,14
1941,183026,20279,7318,12961
1942,183035,24,4,20
1943,183044,4063,1766,2297
1944,183062,805,349,456
1945,183071,198,90,108
1946,183080,1267,531,736
1947,183099,722,283,439
1948,183105,231,112,119
1949,183114,183,42,141
1950,183123,176,112,64
1951,183132,467,212,255
1952,183141,293,153,140
1953,183150,362,156,206
1954,183202,22,0,22
1955,183211,615,120,495
1956,183239,430,147,283
1957,183248,57,10,47
1958,183257,545,166,379
1959,183275,25,12,13
1960,183488,163,20,143
1961,183600,10,0,10
1962,183655,641,216,425
1963,183725,352,132,220
1964,183743,2179,959,1220
1965,183789,1255,304,951
1966,183804,1287,1287,0
1967,183822,307,91,216
1968,183859,1817,807,1010
1969,183877,1406,545,861
1970,183910,444,103,341
1971,183938,1507,644,863
1972,183974,548,182,366
1973,183983,44,42,2
1974,184047,5,0,5
1975,184056,256,60,196
1976,184092,313,20,293
1977,184180,1299,653,646
1978,184205,639,207,432
1979,184278,48,47,1
1980,184348,461,190,271
1981,184427,199,192,7
1982,184481,1102,361,741
1983,184506,56,7,49
1984,184603,1637,765,872
1985,184612,455,108,347
1986,184694,897,376,521
1987,184746,141,136,5
1988,184773,605,132,473
1989,184782,4275,2154,2121
1990,184791,1224,488,736
1991,184816,37,7,30
1992,184870,166,18,148
1993,184959,304,69,235
1994,184968,77,12,65
1995,184995,892,344,548
1996,185129,1749,589,1160
1997,185174,86,66,20
1998,185262,3149,1086,2063
1999,185332,202,17,185
2000,185396,696,672,24
2001,185466,222,2,220
2002,185509,895,378,517
2003,185536,1439,609,830
2004,185572,1689,605,1084
2005,185590,5414,1980,3434
2006,185679,110,20,90
2007,185721,238,90,148
2008,185758,33,12,21
2009,185767,248,31,217
2010,185828,2835,2116,719
2011,185873,1499,629,870
2012,185970,108,4,104
2013,186016,190,21,169
2014,186034,1084,367,717
2015,186052,374,313,61
2016,186122,173,107,66
2017,186131,2281,1273,1008
2018,186186,25,25,0
2019,186201,1544,628,916
2020,186274,104,16,88
2021,186283,1285,508,777
2022,186371,1771,727,1044
2023,186380,13335,5911,7424
2024,186399,3308,1613,1695
2025,186405,9,2,7
2026,186423,40,4,36
2027,186432,865,285,580
2028,186469,212,74,138
2029,186584,2720,1098,1622
2030,186593,71,12,59
2031,186618,307,41,266
2032,186645,1174,572,602
2033,186867,2539,1870,669
2034,186876,2313,866,1447
2035,186900,14,14,0
2036,187000,119,115,4
2037,187046,2474,1318,1156
2038,187134,2101,804,1297
2039,187198,1695,590,1105
2040,187444,2214,873,1341
2041,187505,383,55,328
2042,187532,6672,2609,4063
2043,187596,202,77,125
2044,187620,1093,463,630
2045,187639,608,154,454
2046,187648,1290,469,821
2047,187666,628,349,279
2048,187745,52,20,32
2049,187897,977,269,708
2050,187903,414,160,254
2051,187912,121,92,29
2052,187958,336,111,225
2053,187967,398,277,121
2054,187976,110,43,67
2055,187985,5630,2393,3237
2056,187994,94,36,58
2057,188003,158,54,104
2058,188021,59,12,47
2059,188030,3189,1471,1718
2060,188049,210,61,149
2061,188058,200,53,147
2062,188100,1405,425,980
2063,188137,812,289,523
2064,188182,295,98,197
2065,188207,64,10,54
2066,188216,68,27,41
2067,188225,148,45,103
2068,188261,346,292,54
2069,188289,35,4,31
2070,188304,630,192,438
2071,188340,303,262,41
2072,188429,2458,683,1775
2073,188438,626,253,373
2074,188517,130,42,88
2075,188526,282,102,180
2076,188535,145,71,74
2077,188580,220,102,118
2078,188641,722,245,477
2079,188650,330,27,303
2080,188669,29,4,25
2081,188678,161,67,94
2082,188687,95,43,52
2083,188696,22,3,19
2084,188854,601,173,428
2085,188890,994,970,24
2086,188915,16,2,14
2087,188942,70,0,70
2088,189015,289,43,246
2089,189088,613,282,331
2090,189097,680,0,680
2091,189219,261,249,12
2092,189228,997,333,664
2093,189255,100,0,100
2094,189273,4,4,0
2095,189282,125,25,100
2096,189404,83,0,83
2097,189413,396,61,335
2098,189468,147,3,144
2099,189477,74,1,73
2100,189501,347,165,182
2101,189547,1205,485,720
2102,189565,230,51,179
2103,189583,381,72,309
2104,189592,120,28,92
2105,189705,1043,457,586
2106,189714,125,2,123
2107,189811,186,36,150
2108,189839,457,184,273
2109,189848,234,71,163
2110,189857,129,129,0
2111,189981,19,14,5
2112,189990,485,7,478
2113,190008,23,6,17
2114,190044,1132,745,387
2115,190053,214,91,123
2116,190071,46,5,41
2117,190080,13,8,5
2118,190099,747,338,409
2119,190114,422,98,324
2120,190150,12411,5842,6569
2121,190169,280,93,187
2122,190239,106,4,102
2123,190248,596,76,520
2124,190318,257,29,228
2125,190372,218,146,72
2126,190415,7301,3820,3481
2127,190424,324,151,173
2128,190442,549,229,320
2129,190451,102,19,83
2130,190503,1261,578,683
2131,190512,5064,2367,2697
2132,190521,4363,1574,2789
2133,190530,1724,623,1101
2134,190549,4055,1438,2617
2135,190558,2704,994,1710
2136,190567,3337,1474,1863
2137,190576,2102,735,1367
2138,190585,1268,350,918
2139,190594,5500,1489,4011
2140,190600,3801,1581,2220
2141,190619,2536,998,1538
2142,190628,3426,1350,2076
2143,190637,3464,1044,2420
2144,190646,1224,291,933
2145,190655,2766,1396,1370
2146,190664,4787,1732,3055
2147,190673,2471,1025,1446
2148,190682,165,62,103
2149,190691,1177,323,854
2150,190707,8,0,8
2151,190716,740,193,547
2152,190725,928,202,726
2153,190752,5,5,0
2154,190761,557,167,390
2155,190840,1011,446,565
2156,190956,52,9,43
2157,190974,76,14,62
2158,190983,250,68,182
2159,191083,2166,1123,1043
2160,191126,3691,517,3174
2161,191199,745,294,451
2162,191205,124,86,38
2163,191241,5083,1938,3145
2164,191287,485,219,266
2165,191302,384,127,257
2166,191311,180,65,115
2167,191320,18,7,11
2168,191339,707,209,498
2169,191515,495,239,256
2170,191533,232,97,135
2171,191597,198,26,172
2172,191612,453,155,298
2173,191621,170,63,107
2174,191630,485,239,246
2175,191649,3148,1284,1864
2176,191676,271,88,183
2177,191719,1792,933,859
2178,191728,902,159,743
2179,191931,881,377,504
2180,191940,76,8,68
2181,191959,36,34,2
2182,191968,1709,661,1048
2183,191986,624,235,389
2184,192004,99,27,72
2185,192022,571,198,373
2186,192040,73,36,37
2187,192110,267,138,129
2188,192165,17,17,0
2189,192192,590,136,454
2190,192271,540,32,508
2191,192323,966,332,634
2192,192448,3891,1160,2731
2193,192484,48,1,47
2194,192509,330,88,242
2195,192624,14,14,0
2196,192688,227,32,195
2197,192703,1178,637,541
2198,192712,292,120,172
2199,192749,676,234,442
2200,192785,279,36,243
2201,192800,6,0,6
2202,192819,1710,687,1023
2203,192864,420,91,329
2204,192925,648,146,502
2205,192961,48,6,42
2206,192970,5,1,4
2207,193016,2319,667,1652
2208,193052,85,85,0
2209,193061,6,6,0
2210,193070,3,3,0
2211,193122,64,8,56
2212,193186,29,3,26
2213,193201,170,22,148
2214,193247,29,29,0
2215,193265,97,93,4
2216,193283,986,476,510
2217,193292,1287,288,999
2218,193308,2481,845,1636
2219,193326,1921,867,1054
2220,193353,572,157,415
2221,193380,66,15,51
2222,193399,380,108,272
2223,193405,306,119,187
2224,193478,2896,1322,1574
2225,193584,845,197,648
2226,193609,32,18,14
2227,193654,2875,825,2050
2228,193672,28,25,3
2229,193751,261,109,152
2230,193821,285,112,173
2231,193830,448,180,268
2232,193858,252,17,235
2233,193894,110,51,59
2234,193900,17148,7236,9912
2235,193946,873,361,512
2236,193973,1282,453,829
2237,193991,19,1,18
2238,194028,337,139,198
2239,194073,93,48,45
2240,194091,2081,1076,1005
2241,194116,155,17,138
2242,194161,591,241,350
2243,194189,6,6,0
2244,194222,1077,484,593
2245,194240,854,329,525
2246,194259,21,2,19
2247,194310,3531,1368,2163
2248,194392,170,110,60
2249,194435,114,4,110
2250,194499,304,48,256
2251,194569,58,32,26
2252,194578,1316,371,945
2253,194657,79,79,0
2254,194666,73,73,0
2255,194693,2,2,0
2256,194736,2,2,0
2257,194763,92,92,0
2258,194824,1837,1231,606
2259,194958,616,145,471
2260,195003,3706,2361,1345
2261,195030,3396,1654,1742
2262,195049,39,20,19
2263,195058,912,431,481
2264,195067,279,17,262
2265,195128,787,132,655
2266,195155,18,9,9
2267,195164,608,273,335
2268,195173,489,201,288
2269,195191,152,11,141
2270,195216,615,258,357
2271,195234,1418,349,1069
2272,195243,339,161,178
2273,195289,59,8,51
2274,195304,457,122,335
2275,195322,501,208,293
2276,195438,13,13,0
2277,195474,830,404,426
2278,195526,601,223,378
2279,195544,320,81,239
2280,195562,1249,385,864
2281,195580,24,22,2
2282,195702,81,7,74
2283,195720,1048,368,680
2284,195784,200,29,171
2285,195809,4263,1723,2540
2286,195988,216,85,131
